id,gis_id,name,full_name,bbox
4609,1267655302447176,Саратовская область,Саратовская область,"[[42.504035, 49.801223], [50.832712, 52.819237]]"
4610,1267655302447118,Саха (Якутия),Республика Саха (Якутия),"[[105.509114, 55.487671], [163.104406, 77.310229]]"
4611,1267655302447177,Сахалинская область,Сахалинская область,"[[140.922056, 43.177563], [156.831768, 54.625981]]"
4612,1267655302447178,Свердловская область,Свердловская область,"[[57.229384, 56.053941], [66.185428, 61.946069]]"
184723,20407558620627866,Севастополь,Севастополь,"[[33.37859, 44.38724], [33.897033, 44.841412]]"
4613,1267655302447119,Северная Осетия-Алания,Республика Северная Осетия — Алания,"[[43.398487, 42.546937], [44.95897, 43.835935]]"
4614,1267655302447179,Смоленская область,Смоленская область,"[[30.75157, 53.408691], [35.395003, 56.067054]]"
4615,1267655302447133,Ставропольский край,Ставропольский край,"[[40.846043, 43.658465], [45.715524, 46.237542]]"
4617,1267655302447180,Тамбовская область,Тамбовская область,"[[39.915759, 51.587884], [43.249142, 53.822576]]"
4618,1267655302447120,Татарстан,Республика Татарстан,"[[47.237019, 53.974244], [54.26585, 56.678309]]"
4619,1267655302447181,Тверская область,Тверская область,"[[30.76287, 55.632054], [38.326943, 58.863139]]"
4620,1267655302447182,Томская область,Томская область,"[[75.056664, 55.664132], [89.379033, 61.035672]]"
4621,1267655302447183,Тульская область,Тульская область,"[[35.897284, 52.945773], [38.951541, 54.851836]]"
4622,1267655302447121,Тыва,Республика Тыва,"[[88.791531, 49.7445], [99.273846, 53.729781]]"
4623,1267655302447184,Тюменская область,Тюменская область,"[[64.827192, 55.1471], [75.199295, 59.989559]]"
4624,1267655302447122,Удмуртия,Удмуртская Республика,"[[51.123207, 55.850578], [54.436131, 58.545842]]"
4625,1267655302447185,Ульяновская область,Ульяновская область,"[[45.796701, 52.533529], [50.242857, 54.891446]]"
4627,1267655302447134,Хабаровский край,Хабаровский край,"[[130.386742, 46.634961], [147.216789, 62.532383]]"
4628,1267655302447123,Хакасия,Республика Хакасия,"[[87.882589, 51.285126], [91.937342, 55.438035]]"
4629,1267655302447136,Ханты-Мансийский АО,Ханты-Мансийский автономный округ,"[[59.203794, 58.579599], [85.976673, 65.717736]]"
4630,1267655302447186,Челябинская область,Челябинская область,"[[57.131375, 51.990784], [63.351481, 56.365642]]"
4631,1267655302447124,Чечня,Чеченская Республика,"[[44.832297, 42.478227], [46.662936, 44.010033]]"
4633,1267655302447125,Чувашия,Чувашская Республика — Чувашия,"[[45.911255, 54.595987], [48.420602, 56.328518]]"
4634,1267655302447137,Чукотский АО,Чукотский автономный округ,"[[-180.0, 61.607801], [180.0, 71.804957]]"
4635,1267655302447138,Ямало-Ненецкий АО,Ямало-Ненецкий автономный округ,"[[62.000444, 62.195657], [86.007285, 73.72106]]"
4636,1267655302447187,Ярославская область,Ярославская область,"[[37.327279, 56.535704], [41.194776, 58.952325]]"
